1st ->	A (UBL)	B (UBR)	D (UFL)	E (LUB)	F (LUF)	G (LDF)	H (LDB)	I (FUL)	K (FDR)	L (FDL)	N (RUB)	O (RDB)	P (RDF)	Q (BUR)	R (BUL)	S (BDL)	T (BDR)	U (DFL)	V (DFR)	W (DBR)	X (DBL)
A (UBL)		[R' B' R : [U' , R D R']]	[R' D R U' : [R' D' R , U']]		[F : [R' D' R , U2]]	[U2 , R' D R]	[U : [R D' R' , U2]]	R' D R U' R : [F , R' U R U']	[U D : [R D R' , U2]]	[D' U : [R D' R' , U2]]	[R' U D R : [D' , R U' R']]	[U : [R D R' , U2]]	[U2 , R' D' R]	[R' U' D : [R D R' , U2]]		[U D' : [R D R' , U2]]	[U D : [R D' R' , U2]]	[R F' R' U : [R D R' , U2]]	[U2 , R' D R U' R D' R']	[R D' R' : [U2 , R' D R]]	[R' U' D' R : [D , R U' R']]
B (UBR)	[R' B' R : [R D R' , U']]		[R F' R' : [U , R' D R]]	[R2 : [D , R' U R]]	[R' : [U' , R' D' R]]	[U , R' D R]	[R D' R' , U']	[R2 U' : [R U R' , D']]	[D' : [U , R' D R]]	[D : [U , R' D' R]]		[R D R' , U']	[U , R' D' R]		[R2 U : [D , R' U' R]]	[D' : [R D R' , U']]	[D : [R D' R' , U']]	[R F' : [D , R' U' R]]	[U , R' D R U' R D' R']	[R D' R' U R' D R , U']	[R' B : [R U R' , D']]
D (UFL)	[R' D R U2 : [R' D' R , U]]	[R F' R' : [R' D R, U]]		[U' R : [U2 , R D R']]		[U' , R' D R]	[U2 : [R D' R' , U]]		[D' : [U' , R' D R]]	[D : [U' , R' D' R]]	[U' R2' : [D' , R U2 R']]	[U2 : [R D R' , U]]	[U' , R' D' R]	[R' D' : [R' D R , U']]	[U' R2' : [D' , R U' R']]	[D : [U' , R' D R]]	[D' : [U' , R' D' R]]	[U' : [F2' , U R' U' R]]	[U' , R' D R U' R D' R']	[R D' R' : [U' , R' D R]]	[R' D' R : [D , R U' R']]
E (LUB)		[R : [U , R D R']]	[U' R2 : [D , R' U2 R]]		[U' R' U , L]	[U R' : [R' D R , U']]	[R D' : [U , R D R']]	[l' U' : [R D' R' , U2]]	[D' U R' : [R' D R , U']]	[R U2 : [R' D R , U']]	[R : [U , R2 D R2 D' R2]]	[U' R' F R : [R D R' , U']]	[U R' U' : [R D R' , U']]	[F' L F , R']		[D U R' : [R' D R , U']]	[R U2 : [R' D' R , U']]	[D' R : [U , R D' R']]	[U R' D' : [R' D' R , U']]	[D R : [U , R D' R']]	[R : [U , R D' R']]
F (LUF)	[F : [U2 , F' R F R']]	[R2 : [D' , R U' R']]		[U' R' F : [D , R U R']]		[R' U' : [R U R' , D]]	[U' R U' : [R' U R , D']]		[U R U' : [F , U R' U' R]]	[D R' U' : [R U R' , D']]	[R U' D' R' : [R' U R , D]]	[D' R : [R' U R U' , F]]	[R' U' : [R U R' , D']]	[R' F : [D , R U R']]	[F , l U' l']	[F , l U2 l']	[D' R' U' : [R U R' , D']]	[U' R' U : [D , R U' R']]	[U' D' R' U : [D , R U' R']]	[R U' R2' : [U , R D R']]	[U' D R' U : [D , R U' R']]
G (LDF)	[R' D R , U2]	[R' D R , U]	[R' D R , U']	[U R' : [U' , R' D R]]	[R' U' : [D , R U R']]		[R' D : [F' , D' R D R']]	[R' D : [F2 , D' R D R']]	[U : [R U' R' , D]]		[U R U' : [R' D R , U2]]	[U D' : [R U' R' , D2]]	[U R' D' : [R U' R' , D2]]	[R' U : [D , R U' R']]	[R B' R' : [U , R' D R]]	[U D2 : [R U' R' , D']]	[R' D R2 : [U , R' D' R]]		[U D R D' : [R' D R , U']]	[U R2 : [U' , R' D R]]	[D R : [F2 , R' U R U']]
H (LDB)	[U' : [R D' R' , U2]]	[U' , R D' R']	[U' : [R D' R' , U']]	[R D' : [R D R' , U]]	[U' R U' : [D' , R' U R]]	[D R' : [F' , R D' R']]		[R U D : [R' D R , U2]]	[l' U : [R U' R' , D]]	[D : [R U R' , D]]	[U R : [U2 , R D' R']]	[R D : [R' U' R , D2]]	[R U R' , D2]	[R , U' L U]	[U D R' F' : [R U' R' , D]]		[D' : [R U R' , D']]	[D R U' R' : [U2 , R' D R]]	[R U' D R' : [U2 , R' D R]]	[R D' R' : [U , R' D R]]	
I (FUL)	[r D' U : [R D R' , U2]]	[R2 U' : [D' , R U R']]		[l' U : [R D' R' , U2]]		[D R' : [F2 , R D' R' D]]	[R U' D : [R' D R , U2]]		[R' : [F2 , R D' R' D]]	[R U' : [R' D R , U U]]	[R' F' R D U : [R' D' R , U2]	[R D' U' : [R' D R , U2]]	[D R U' : [R' D' R , U2]]	[R D' U' : [R' D' R , U2]]	[R U R' D' : [R' D R , U2]]	[D R' D : [F2 , D' R D R']]	[R U' : [R' D' R , U2]]	[R D U' : [R' D' R , U2]]	[R U' R' U D : [R D R' , U2]]	[D R : [U2 , R D' R']]	[R2 U : [R' U R , D']]
K (FDR)	[D U' : [R D R' , U2]]	[D' : [R' D R , U]]	[D' : [R' D R , U']]	[U D' R' : [U' , R' D R]]	[R : [F , R' U R U']]	[U : [D , R U' R']]	[l' U : [D , R U' R']]	[D' R' D : [F2 , D' R D R']]		[D' R' D : [F' , D' R D R']]	[U' R' U' : [R D R' , U2]]	[U : [D' , R U' R']]		[D' R' U : [D , R U' R']]	[U' R' U' : [R D R' , U']]	[U : [D2 , R U' R']]	[R U R' U' : [R U R' , D']]	[R : [F2 , R' U R U']]		[U R D' : [R' D R , U']]	[R' D' R : [D ,R U R']]
L (FDL)	[D : [R' D' R , U2]]	[D : [R' D' R , U]]	[D : [R' D' R , U']]	[R U : [R' D R , U]]	[D R' U' : [D' , R U R']]		[D2 : [R U R' , D']]	[R U : [R' D R , U2]]	[R' : [F' , R D' R' D]]		[U R U' D : [R' D' R , U2]]	[R D : [R' U' R , D]]	[R U R' , D]	[R' F : [D , R U' R']]	[D R' : [R' U R , D]]	[D' R D : [R' U' R , D2]]	[D' : [R U R' , D2]]		[R U' R' : [U2 , R' D R]]	[D' R2 : [R' U' R , D']]	[D R D : [R' D' R , U]]
N (RUB)	[R' U D R2 : [U' , R' D' R]]		[U' R' : [U2 , R' D' R]]	[R' D R2 D' R2' : [U , R2 D R2' D' R2]]	[R U' D' R' : [D , R' U R]]	[U R U : [R' D R , U2]]	[U R : [R D' R' , U2]]	[R' F' R D U : [U2 , R' D' R]	[U' R' U : [R D R' , U2]]	[U R U D : [R' D' R , U2]]		[U R U : [R' D' R , U2]]	[U' R' D U : [R D' R' , U2]]		[U R2 U' : [R U R' , D']]	[U' R' U : [R D' R' , U2]]	[R' F' R D' U' : [R' D R , U2]]	[U' R' : [U2 , R' D R]]	[U' D' R' : [U2 , R' D R]]	[U R U D' : [R' D R , U2]]	[D U' R' : [U2 , R' D R]]
O (RDB)	[U' : [R D R' , U2]]	[U' , R D R']	[U' : [R D R' , U']]	[U' R : [R U' R' , D']]	[D' R : [F , R' U R U']]	[U D : [R U' R' , D2]]	[R D' : [R' U' R , D2]]	[R D' U : [R' D R , U2]]	[U : [R U' R' , D']]	[R D2 : [R' U' R , D']]	[U R U' : [R' D' R , U2]]		[R D' : [U , R' D R]]	[U' R U : [D , R' U' R]]	[R B' : [D , R' U' R]]	[U' : [D' , R' U' R]]		[U' R' : [U , R' D R]]	[D' R : [F2 , R' U R U']]		[U D' R D' : [R' D R , U']]
P (RDF)	[R' D' R , U2]	[R' D' R , U]	[R' D' R , U']	[U R' U2 : [R D R' , U]]	[R' U' : [D' , R U R']]	[U R' D : [R U' R' , D2]]	[D2 , R U R']	[D R U : [R' D' R , U2]]		[D , R U R']	[U' R' D U' : [R D' R' , U2]]	[R D' : [R' D R , U]]		[R' U : [D' , R U' R']]	[R2' : [U , R D R']]	[U R' D' : [D' , R U' R']]	[D' , R U R']	[R D : [R' D' R , U]]		[D' R U' R' : [U2 , R' D R]]	[R2 : [R' U' R , D']]
Q (BUR)	[R' U D : [R D R' , U2]]		[R' D' : [U' , R' D R]]	[R' , F' L F]]	[R' F : [R U R' , D]]	[R' U : [R U' R' , D]]	[U' L U , R]	[R U D' : [R' D' R , U2]]	[D' R' U : [R U' R' , D]]	[R' F : [R U' R' , D]]		[U' R U : [R' U' R , D]]	[R' U : [R U' R' , D']]		[U' L' U , R]	[D R' U : [R U' R' , D]]	[R U' : [D , R' U R]]	[D' R U' : [D' , R' U R]]	[U R' U' : [D' , R U R']]	[D R U' : [D' , R' U R]]	[R U' : [D' , R' U R]]
R (BUL)		[R2 U : [R' U' R , D]]	[U' R' : [U' , R' D' R]]		[l U' l' , F]	[R B' R' : [R' D R , U]]	[U D R' F' : [D , R U' R']]	[R U R' U D : [R D R' , U2]]	[U' R' U2 : [R D R' , U]]	[D R' : [D , R' U R]]	[U R2 U' : [D' , R U R']]	[R B' : [R' U' R , D]]	[R' : [D , R' U R]]	[R , U' L' U]		[U' R' U2 : [R D' R' , U]]	[D' R' : [D , R' U R]]	[U' R' : [U' , R' D R]]	[D' U' R' : [U' , R' D R]]	[U R2 : [U' , R' D' R]]	[R2 U : [R' U' R , D']]
S (BDL)	[D' U' : [R D R' , U2]]	[D' : [U' , R D R']]	[D : [R' D R , U']]	[U D R' : [U' , R' D R]]	[l U2 l' , F]	[U D : [R U' R' , D]]		[D R' D : [F2 , D' R D R']]	[U : [R U' R' , D2]]	[D' R D' : [R' U' R , D2]]	[U' R' U' : [R D' R' , U2]]	[U' : [R' U' R , D']]	[U R' D' : [R U' R' , D']]	[D R' U : [D , R U' R']]	[U' R' U' : [R D' R' , U']]		[D R' D : [F' , D' R D R']]	[U' D' R' D' : [R D R' , U']]	[U' D' R' : [U , R' D R]]	[U R2 : [U' , R' D2 R]]	
T (BDR)	[D U' : [R D' R' , U2]]	[D : [U' , R D' R']]	[D' : [R' D' R , U']]	[R U : [R' D' R , U]]	[D' R' U' : [D' , R U R']]	[R' D R : [D' , R U R']]	[D2 : [R U R' , D]]	[R U : [R' D' R , U2]]	[R U R' U' : [D' , R U R']]	[D : [R U R' , D2]]	[R' F' R D' U : [R' D R , U2]]		[R U R' , D']	[R U' : [R' U R , D]]	[D' R2' : [U , R D R']]	[D2' R' : [F' , R D' R' D]]		[D' R : [U' , R D' R']]	[D' R D : [R' D' R , U]]		[R U' D' : [R' U R , D2]]
U (DFL)	[R F' R' U' : [R D R' , U2]]	[R F' : [R' U' R , D]]	[R' U' R : [F2' , R' U R U']]	[D' R : [R D' R' , U]]	[U' R' U : [R U' R' , D]]		[D R U' R' : [R' D R , U2]]	[D' R : [R D' R' , U2]]	[U R U' : [F2' , U R' U' R]]		[U' R' : [R' D R , U2]]	[U' R' : [R' D R , U]]	[R D : [U , R' D' R]]	[D' R U' : [R' U R , D']]	[U' R' : [R' D R , U']]	[U' D' R' D' : [U' , R D R']]	[D' R : [R D' R' , U']]	 	[U' R' U R : [R U' R' , D]]	[U' R2' : [D , R2 U R2' U' R2]]	[R U' D' : [R' U R , D']]
V (DFR)	[R' D R U' R D' R' , U2]	[R' D R U' R D' R' , U]	[R' D R U' R D' R' , U']	[U R' D' : [U' , R' D' R]]	[U' D' R' U : [R U' R' , D]]	[U D R D' : [U' , R' D R]]	[R U' D R' : [R' D R , U2]]	[R U' R' D' : [R' D R , U2]]		[R U' R' : [R' D R , U2]]	[D' U' R' : [R' D R , U2]]	[D' U R U' : [F2 , U R' U' R]]		[U R' U' : [R U R' , D']]	[D' U' R' : [R' D R , U']]	[U' D' R' : [R' D R , U]]	[D' R D : [U , R' D' R]]	[U' R' U R : [D , R U' R']]		[D R U' R' : [D' , R' U R]]	[R U' R' U' : [R D' R' , U2]]
W (DBR)	[R D' R' : [R' D R , U2]]	[U' , R D' R' U R' D R]	[R D' R' : [R' D R , U']]	[D R : [R D' R', U]]	[R U' R' : [D , R' U R]]	[U R : [D , R U' R']]	[R D' R' : [R' D R , U]]	[D R : [R D' R' , U2]]	[U R' D' : [U' , R' D R]]	[D R : [R D' R' , U']]	[U R U' D' : [R' D R , U2]]		[D' R U' R' : [R' D R , U2]]	[D R U' : [R' U R , D']]	[U R : [D' , R U' R']]	[U R : [D2 , R U' R']]			[D R U' R' : [R' U R , D']]		[R U' R' : [D' , R' U R]]
X (DBL)	[R' U' D' R : [R U' R' , D]]	[R' B : [D' , R U R']]	[R' D' R : [R U' R' , D]]	[R : [R D' R' , U]]	[U' D R' U : [R U' R' , D]]	[D U R U' : [F2' , U R' U' R]]		[R : [R D' R' , U2]]	[R' D' R : [R U R' , D]]	[D R D : [U , R' D' R]]	[D U' R' : [R' D R , U2]]	[U D' R D' : [U' , R' D R]]	[R : [R D' R' , U']]	[R U' : [R' U R , D']]	[R2 U : [D' , R' U' R]]		[R U' D : [R' U R , D2]]	[R U' D2 : [R' U R , D]]	[R U' R' U : [R D' R' , U2]]	[R U' R' : [R' U R , D']]	